env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
158,0.431549,51,53.7258,0.0487687,1,77.7951,75.8684,47.5843,-0.614574,0.000685709
159,0.409793,87,0.0647659,0.000348887,1,87.6397,8.50097,49.6687,-0.0786785,0.000685709
160,0.490514,16,92.7681,0.160959,1,67.3469,50.4187,50.5054,-0.58821,0.000685709
161,0.478553,25,65.5643,0.302323,1,82.1858,48.6939,45.0742,-0.568109,0.000685709
162,0.470552,17,75.4721,0.248416,1,75.0879,49.922,49.9027,-0.536274,0.000685709
163,0.0504061,11,33.9739,0.342317,1,18.1405,20.61,62.8643,-0.592777,0.000685709
164,0.417819,87,0.437309,0.000495881,1,87.2049,62.358,47.6486,-0.0681705,0.000685709
165,0.470336,17,75.4098,0.248577,1,75.0894,49.9207,49.901,-0.614424,0.000685709
166,0.413004,87,0.565293,0.000408802,1,87.2729,59.8171,47.6483,-0.0790708,0.000685709
167,0.5,84,0.0467201,0.000490737,1,87.5226,77.6252,59.8533,-0.0919476,0.000685709
168,0.491492,29,45.4172,0.356573,1,56.9491,80.4927,51.284,-0.597675,0.000685709
169,0.407201,87,0.0201855,0.000102937,1,87.3191,59.3773,98.1302,-0.234869,0.000685709
170,0.498045,15,35.7319,0.185025,1,90.0572,39.9022,56.7674,-0.576871,0.000685709
171,0.432012,87,0.07311,0.000689755,1,87.4337,60.1534,0.01,0.0117653,0.0117653
172,0.430267,89,0.522406,0.000304855,1,87.3802,67.1165,0.106936,-0.158038,0.0117653
173,0.45814,19,56.6327,0.157778,1,62.3089,38.9204,47.7584,-0.602566,0.0117653
174,0.399491,92,0.0799131,0.000327728,1,87.6078,100,0.0394835,-0.174645,0.0117653
175,0.5,95,0.0590159,0.000653075,1,87.7038,70.3392,0.0430878,-0.0632392,0.0117653
176,0.479181,17,51.9108,0.245519,1,73.0197,47.7038,50.0053,-0.62387,0.0117653
177,0.5,95,0.0724228,0.000257843,1,87.6025,68.1563,0.279036,-0.116665,0.0117653
178,0.33009,88,0.0158692,0.000948611,1,87.6527,60.4897,0.0254071,-0.348199,0.0117653
179,0.0001,99,69.7635,0.5,1,50.0571,82.1275,72.8189,-0.585603,0.0117653
180,0.5,95,0.0846058,0.0010683,1,87.6537,72.459,0.103546,-0.0984884,0.0117653
181,0.5,88,0.365465,0.000862984,1,87.7099,62.4627,0.0779851,-0.0599848,0.0117653
182,0.5,95,0.107452,0.00125811,1,87.3109,72.24,0.0374609,-0.068815,0.0117653
183,0.5,96,0.107247,0.00063139,1,87.6392,61.4224,0.0656403,-0.113194,0.0117653
184,0.5,86,0.0377556,0.00115705,1,87.5428,36.7872,0.0436219,-0.0894909,0.0117653
185,0.488787,85,17.3541,0.083757,0,69.6005,95.3555,16.0813,-0.578035,0.0117653
186,0.5,88,0.302433,0.000933582,1,87.6043,75.9749,0.0372959,-0.0648374,0.0117653
187,0.0302478,99,61.777,0.175528,1,49.9541,74.8596,92.6245,-0.600837,0.0117653
188,0.0450578,68,20.7632,0.214814,0,86.6308,75.0695,74.913,-0.659964,0.0117653
189,0.438357,87,0.0537034,0.000712879,1,87.3757,10.3767,0.0300721,-0.0543491,0.0117653
190,0.437624,87,0.0870992,0.00154711,1,87.3601,10.4425,0.129171,-0.0514215,0.0117653
191,0.114164,99,65.6122,0.375363,0,37.5521,75.8662,75.3296,-0.568959,0.0117653
192,0.130972,96,60.6243,0.369048,1,61.0003,65.9147,75.4993,-0.543379,0.0117653
193,0.471554,85,0.11574,0.000430158,1,87.3006,100,0.221479,-0.0494544,0.0117653
194,0.437272,87,0.164143,0.000355349,1,87.4659,10.4207,0.173954,0.0478222,0.0478222
195,0.105242,97,80.4358,0.324114,1,57.5756,72.4157,77.3201,-0.598052,0.0478222
196,0.436835,87,1.05641,0.000611963,1,87.2291,10.4122,0.121109,-0.0781779,0.0478222
197,0.435767,87,0.702013,0.000384897,1,87.5191,10.3492,0.195421,-0.205553,0.0478222
198,0.050156,95,79.1945,0.147509,1,43.8141,75.25,37.0801,-0.667957,0.0478222
199,0.00335499,36,74.7436,0.498078,1,41.8502,86.1311,61.4937,-0.620697,0.0478222
200,0.0149618,75,69.6545,0.273162,1,48.6484,69.4572,98.7717,-0.577249,0.0478222
201,0.429707,87,0.773797,0.000675588,1,87.2833,10.4758,0.163877,-0.177098,0.0478222
202,0.0402032,43,72.5843,0.393833,1,57.7916,77.1198,73.115,-0.630927,0.0478222
