env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
178,0.0141259,1,100,0.256382,0,1.592,-1.03381,-0.414288
179,0.469798,99,75.4358,0.233479,0,0.01,-1.07479,-0.414288
180,0.499699,99,0.167896,0.000718022,0,0.144279,-1.01969,-0.414288
181,0.494946,1,78.6899,0.5,1,0.828676,-1.04091,-0.414288
182,0.499642,13,0.0368469,0.000173707,0,0.14687,-0.449516,-0.414288
183,0.499811,13,0.106449,0.000385317,0,0.17379,-0.912499,-0.414288
184,0.342926,1,59.1754,0.280146,0,0.192428,-1.04591,-0.414288
185,0.5,99,0.01,0.5,0,0.01,-0.968899,-0.414288
186,0.412783,54,54.9051,0.14563,1,67.6215,-1.07621,-0.414288
187,0.5,99,27.3803,0.5,1,0.01,-1.01991,-0.414288
188,0.5,7,0.01,0.210167,0,0.01,-0.96858,-0.414288
189,0.5,95,0.01,0.5,0,0.01,-1.03783,-0.414288
190,0.5,99,19.0648,0.00730323,0,0.01,-1.00756,-0.414288
191,0.499672,8,0.162153,0.285544,0,99.9681,-1.02998,-0.414288
192,0.0505082,94,100,0.5,0,100,-1.05337,-0.414288
193,0.0081389,1,100,0.5,0,100,-1.06697,-0.414288
194,0.0001,99,24.7177,0.5,0,100,-1.03549,-0.414288
195,0.0001,4,68.675,0.5,0,100,-1.03108,-0.414288
196,0.0867101,99,100,0.5,0,100,-1.01679,-0.414288
197,0.0001,99,100,0.278084,0,100,-1.02954,-0.414288
198,0.485629,1,0.01,0.5,0,0.01,-0.968472,-0.414288
199,0.5,99,0.01,0.212398,0,0.01,-1.03506,-0.414288
200,0.5,99,0.01,0.308639,0,0.01,-0.958474,-0.414288
201,0.5,99,61.2943,0.5,0,4.87883,-1.02844,-0.414288
202,0.5,99,100,0.0001,0,0.01,-1.02832,-0.414288
203,0.499113,13,0.0447597,0.000159835,0,0.0779452,-0.739433,-0.414288
204,0.5,99,31.6173,0.384742,0,1.33496,-1.0282,-0.414288
205,0.5,1,32.1707,0.5,0,0.01,-1.0341,-0.414288
206,0.5,99,0.01,0.5,0,0.01,-1.00868,-0.414288
207,0.5,42,78.3696,0.32568,0,2.59942,-1.01379,-0.414288
208,0.320162,21,62.8769,0.456854,0,80.9926,-1.01208,-0.414288

Best eval with params:
eval (mc_estimate_expected_utility) = -0.414288
smbts_search_temp_decay_visits_scale = 0.0734684
smbts_epsilon = 0.000193086
smbts_search_temp = 0.01
smbts_use_search_temp_decay = 0
sm_split_visit_thresh = 63
sm_l_inf_thresh = 0.499913
